Country/territory of asylum/residence,Origin,"Country/territory of asylum (earlier) (only applicable for returned refugees)",Type of population,Population,of whom assisted by UNHCR
Argentina,United Rep. of Tanzania,,Asylum-seekers,0,0
Argentina,United Rep. of Tanzania,,Total population of concern,0,0
Argentina,United States of America,,Total Refugee and people in refugee-like situations,0,0
Argentina,United States of America,,Asylum-seekers,10,0
Argentina,United States of America,,Total population of concern,14,0
Argentina,Uruguay,,Asylum-seekers,0,0
Argentina,Uruguay,,Total population of concern,0,0
Argentina,Various,,Total Refugee and people in refugee-like situations,526,0
Argentina,Various,,Asylum-seekers,0,0
Argentina,Various,,Total population of concern,529,0
Argentina,Venezuela (Bolivarian Republic of),,Total Refugee and people in refugee-like situations,0,0
Argentina,Venezuela (Bolivarian Republic of),,Asylum-seekers,87,6
Argentina,Venezuela (Bolivarian Republic of),,Total population of concern,88,7
Argentina,Viet Nam,,Asylum-seekers,0,0
Argentina,Viet Nam,,Total population of concern,0,0
Argentina,Yemen,,Total Refugee and people in refugee-like situations,15,0
Argentina,Yemen,,Total population of concern,15,0
Argentina,Zambia,,Asylum-seekers,0,0
Argentina,Zambia,,Total population of concern,0,0
Argentina,Zimbabwe,,Total Refugee and people in refugee-like situations,0,0
Argentina,Zimbabwe,,Total population of concern,0,0
Armenia,Afghanistan,,Asylum-seekers,0,0
Armenia,Afghanistan,,Total population of concern,0,0
Armenia,Azerbaijan,,Total Refugee and people in refugee-like situations,2040,2028
Armenia,Azerbaijan,,People in refugee-like situations,573,561
Armenia,Azerbaijan,,Asylum-seekers,0,0
Armenia,Azerbaijan,,Total population of concern,2041,2029
Armenia,Cameroon,,Total Refugee and people in refugee-like situations,0,0
Armenia,Cameroon,,Asylum-seekers,0,0
Armenia,Cameroon,,Total population of concern,0,0
Armenia,"Congo, Republic of",,Total Refugee and people in refugee-like situations,0,0
Armenia,"Congo, Republic of",,Total population of concern,0,0
Armenia,Côte d'Ivoire,,Total Refugee and people in refugee-like situations,6,0
Armenia,Côte d'Ivoire,,Total population of concern,6,0
Armenia,Cuba,,Asylum-seekers,0,0
Armenia,Cuba,,Total population of concern,0,0
Armenia,Georgia,,Total Refugee and people in refugee-like situations,8,7
Armenia,Georgia,,Total population of concern,8,7
Armenia,Guinea,,Asylum-seekers,0,0
Armenia,Guinea,,Total population of concern,0,0
Armenia,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,32,29
Armenia,Iran (Islamic Rep. of),,Asylum-seekers,20,20
Armenia,Iran (Islamic Rep. of),,Total population of concern,52,49
Armenia,Iraq,,Total Refugee and people in refugee-like situations,1022,115
Armenia,Iraq,,Asylum-seekers,18,18
Armenia,Iraq,,Total population of concern,1040,133
Armenia,Jordan,,Total Refugee and people in refugee-like situations,0,0
Armenia,Jordan,,Asylum-seekers,0,0
Armenia,Jordan,,Total population of concern,0,0
Armenia,Kazakhstan,,Total Refugee and people in refugee-like situations,0,0
Armenia,Kazakhstan,,Total population of concern,0,0
Armenia,Lebanon,,Total Refugee and people in refugee-like situations,19,5
Armenia,Lebanon,,Asylum-seekers,0,0
Armenia,Lebanon,,Total population of concern,20,6
Armenia,Nigeria,,Total Refugee and people in refugee-like situations,0,0
Armenia,Nigeria,,Total population of concern,0,0
Armenia,Palestinian,,Total Refugee and people in refugee-like situations,6,0
Armenia,Palestinian,,Total population of concern,6,0
Armenia,Russian Federation,,Total Refugee and people in refugee-like situations,0,0
Armenia,Russian Federation,,Total population of concern,0,0
Armenia,Stateless,,Persons under UNHCR's statelessness mandate,613,0
Armenia,Stateless,,Total population of concern,613,0
Armenia,Sudan,,Total Refugee and people in refugee-like situations,0,0
Armenia,Sudan,,Total population of concern,0,0
Armenia,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,14658,4821
Armenia,Syrian Arab Rep.,,People in refugee-like situations,14000,4163
Armenia,Syrian Arab Rep.,,Asylum-seekers,13,13
Armenia,Syrian Arab Rep.,,Total population of concern,14671,4834
Armenia,Turkey,,Total Refugee and people in refugee-like situations,0,0
Armenia,Turkey,,Asylum-seekers,5,5
Armenia,Turkey,,Total population of concern,8,8
Armenia,Ukraine,,Total Refugee and people in refugee-like situations,118,79
Armenia,Ukraine,,Asylum-seekers,9,9
Armenia,Ukraine,,Total population of concern,127,88
Armenia,Yemen,,Total Refugee and people in refugee-like situations,0,0
Armenia,Yemen,,Asylum-seekers,0,0
Armenia,Yemen,,Total population of concern,5,5
Aruba,Colombia,,Asylum-seekers,0,0
Aruba,Colombia,,Total population of concern,0,0
Aruba,Cuba,,Total Refugee and people in refugee-like situations,0,0
Aruba,Cuba,,Total population of concern,0,0
Aruba,Venezuela (Bolivarian Republic of),,Asylum-seekers,0,0
Aruba,Venezuela (Bolivarian Republic of),,Total population of concern,0,0
Australia,Afghanistan,,Total Refugee and people in refugee-like situations,10469,0
Australia,Afghanistan,,Asylum-seekers,2172,0
Australia,Afghanistan,,Total population of concern,12641,0
Australia,Albania,,Total Refugee and people in refugee-like situations,60,0
Australia,Albania,,Asylum-seekers,69,0
Australia,Albania,,Total population of concern,129,0
Australia,Algeria,,Total Refugee and people in refugee-like situations,10,0
Australia,Algeria,,Asylum-seekers,10,0
Australia,Algeria,,Total population of concern,20,0
Australia,American Samoa,,Asylum-seekers,0,0
Australia,American Samoa,,Total population of concern,0,0
Australia,Andorra,,Asylum-seekers,0,0
Australia,Andorra,,Total population of concern,0,0
Australia,Angola,,Total Refugee and people in refugee-like situations,0,0
Australia,Angola,,Asylum-seekers,0,0
Australia,Angola,,Total population of concern,0,0
Australia,Argentina,,Total Refugee and people in refugee-like situations,0,0
Australia,Argentina,,Asylum-seekers,10,0
Australia,Argentina,,Total population of concern,11,0
Australia,Armenia,,Total Refugee and people in refugee-like situations,0,0
Australia,Armenia,,Total population of concern,0,0
Australia,Azerbaijan,,Total Refugee and people in refugee-like situations,7,0
Australia,Azerbaijan,,Asylum-seekers,13,0
Australia,Azerbaijan,,Total population of concern,20,0
Australia,Bahamas,,Asylum-seekers,0,0
Australia,Bahamas,,Total population of concern,0,0
Australia,Bahrain,,Total Refugee and people in refugee-like situations,96,0
Australia,Bahrain,,Asylum-seekers,10,0
Australia,Bahrain,,Total population of concern,106,0
Australia,Bangladesh,,Total Refugee and people in refugee-like situations,437,0
Australia,Bangladesh,,Asylum-seekers,682,0
Australia,Bangladesh,,Total population of concern,1119,0
Australia,Belarus,,Total Refugee and people in refugee-like situations,7,0
Australia,Belarus,,Asylum-seekers,0,0
Australia,Belarus,,Total population of concern,10,0
Australia,Benin,,Total Refugee and people in refugee-like situations,0,0
Australia,Benin,,Total population of concern,0,0
Australia,Bhutan,,Total Refugee and people in refugee-like situations,0,0
Australia,Bhutan,,Asylum-seekers,9,0
Australia,Bhutan,,Total population of concern,13,0
Australia,Bosnia and Herzegovina,,Asylum-seekers,7,0
Australia,Bosnia and Herzegovina,,Total population of concern,7,0
Australia,Botswana,,Total Refugee and people in refugee-like situations,0,0
Australia,Botswana,,Asylum-seekers,0,0
Australia,Botswana,,Total population of concern,5,0
Australia,Brazil,,Total Refugee and people in refugee-like situations,0,0
Australia,Brazil,,Asylum-seekers,19,0
Australia,Brazil,,Total population of concern,23,0
Australia,Brunei Darussalam,,Asylum-seekers,0,0
Australia,Brunei Darussalam,,Total population of concern,0,0
Australia,Bulgaria,,Asylum-seekers,0,0
Australia,Bulgaria,,Total population of concern,0,0
Australia,Burkina Faso,,Asylum-seekers,0,0
Australia,Burkina Faso,,Total population of concern,0,0
Australia,Burundi,,Total Refugee and people in refugee-like situations,56,0
Australia,Burundi,,Asylum-seekers,22,0
Australia,Burundi,,Total population of concern,78,0
Australia,Cambodia,,Total Refugee and people in refugee-like situations,36,0
Australia,Cambodia,,Asylum-seekers,134,0
Australia,Cambodia,,Total population of concern,170,0
Australia,Cameroon,,Total Refugee and people in refugee-like situations,52,0
Australia,Cameroon,,Asylum-seekers,20,0
Australia,Cameroon,,Total population of concern,72,0
Australia,Canada,,Asylum-seekers,0,0
Australia,Canada,,Total population of concern,0,0
Australia,Central African Rep.,,Total Refugee and people in refugee-like situations,0,0
Australia,Central African Rep.,,Total population of concern,0,0
Australia,Chad,,Total Refugee and people in refugee-like situations,0,0
Australia,Chad,,Total population of concern,0,0
Australia,Chile,,Asylum-seekers,0,0
Australia,Chile,,Total population of concern,0,0
Australia,China,,Total Refugee and people in refugee-like situations,2718,0
Australia,China,,Asylum-seekers,3501,0
Australia,China,,Total population of concern,6219,0
Australia,"China, Hong Kong SAR",,Total Refugee and people in refugee-like situations,0,0
Australia,"China, Hong Kong SAR",,Asylum-seekers,0,0
Australia,"China, Hong Kong SAR",,Total population of concern,0,0
Australia,Colombia,,Total Refugee and people in refugee-like situations,129,0
Australia,Colombia,,Asylum-seekers,84,0
Australia,Colombia,,Total population of concern,213,0
Australia,"Congo, Republic of",,Total Refugee and people in refugee-like situations,11,0
Australia,"Congo, Republic of",,Asylum-seekers,7,0
Australia,"Congo, Republic of",,Total population of concern,18,0
Australia,Côte d'Ivoire,,Total Refugee and people in refugee-like situations,5,0
Australia,Côte d'Ivoire,,Asylum-seekers,0,0
Australia,Côte d'Ivoire,,Total population of concern,9,0
Australia,Croatia,,Total Refugee and people in refugee-like situations,0,0
Australia,Croatia,,Asylum-seekers,0,0
Australia,Croatia,,Total population of concern,0,0
Australia,Cuba,,Total Refugee and people in refugee-like situations,0,0
Australia,Cuba,,Asylum-seekers,0,0
Australia,Cuba,,Total population of concern,5,0
Australia,Cyprus,,Asylum-seekers,0,0
Australia,Cyprus,,Total population of concern,0,0
Australia,Czechia,,Total Refugee and people in refugee-like situations,0,0
Australia,Czechia,,Asylum-seekers,5,0
Australia,Czechia,,Total population of concern,6,0
Australia,Dem. People's Rep. of Korea,,Total Refugee and people in refugee-like situations,21,0
Australia,Dem. People's Rep. of Korea,,Asylum-seekers,6,0
Australia,Dem. People's Rep. of Korea,,Total population of concern,27,0
Australia,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,46,0
Australia,Dem. Rep. of the Congo,,Asylum-seekers,45,0
Australia,Dem. Rep. of the Congo,,Total population of concern,91,0
Australia,Djibouti,,Total Refugee and people in refugee-like situations,0,0
Australia,Djibouti,,Asylum-seekers,0,0
Australia,Djibouti,,Total population of concern,0,0
Australia,Dominica,,Asylum-seekers,0,0
Australia,Dominica,,Total population of concern,0,0
Australia,Ecuador,,Total Refugee and people in refugee-like situations,0,0
Australia,Ecuador,,Total population of concern,0,0
Australia,Egypt,,Total Refugee and people in refugee-like situations,1578,0
Australia,Egypt,,Asylum-seekers,230,0
Australia,Egypt,,Total population of concern,1808,0
Australia,El Salvador,,Total Refugee and people in refugee-like situations,11,0
Australia,El Salvador,,Asylum-seekers,14,0
Australia,El Salvador,,Total population of concern,25,0
Australia,Eritrea,,Total Refugee and people in refugee-like situations,129,0
Australia,Eritrea,,Asylum-seekers,29,0
Australia,Eritrea,,Total population of concern,158,0
Australia,Estonia,,Total Refugee and people in refugee-like situations,0,0
Australia,Estonia,,Asylum-seekers,0,0
Australia,Estonia,,Total population of concern,7,0
Australia,Ethiopia,,Total Refugee and people in refugee-like situations,279,0
Australia,Ethiopia,,Asylum-seekers,219,0
Australia,Ethiopia,,Total population of concern,498,0
Australia,Fiji,,Total Refugee and people in refugee-like situations,415,0
Australia,Fiji,,Asylum-seekers,333,0
Australia,Fiji,,Total population of concern,748,0
Australia,France,,Total Refugee and people in refugee-like situations,0,0
Australia,France,,Asylum-seekers,0,0
Australia,France,,Total population of concern,5,0
Australia,Gabon,,Asylum-seekers,0,0
Australia,Gabon,,Total population of concern,0,0
Australia,Gambia,,Total Refugee and people in refugee-like situations,9,0
Australia,Gambia,,Asylum-seekers,8,0
Australia,Gambia,,Total population of concern,17,0
Australia,Georgia,,Total Refugee and people in refugee-like situations,13,0
Australia,Georgia,,Asylum-seekers,18,0
Australia,Georgia,,Total population of concern,31,0
Australia,Germany,,Total Refugee and people in refugee-like situations,5,0
Australia,Germany,,Asylum-seekers,9,0
Australia,Germany,,Total population of concern,14,0
Australia,Ghana,,Total Refugee and people in refugee-like situations,30,0
Australia,Ghana,,Asylum-seekers,92,0
Australia,Ghana,,Total population of concern,122,0
Australia,Greece,,Total Refugee and people in refugee-like situations,6,0
Australia,Greece,,Asylum-seekers,12,0
Australia,Greece,,Total population of concern,18,0
Australia,Guatemala,,Total Refugee and people in refugee-like situations,0,0
Australia,Guatemala,,Asylum-seekers,0,0
Australia,Guatemala,,Total population of concern,0,0
Australia,Guinea,,Total Refugee and people in refugee-like situations,11,0
Australia,Guinea,,Asylum-seekers,9,0
Australia,Guinea,,Total population of concern,20,0
Australia,Haiti,,Asylum-seekers,0,0
Australia,Haiti,,Total population of concern,0,0
Australia,Honduras,,Total Refugee and people in refugee-like situations,0,0
Australia,Honduras,,Asylum-seekers,0,0
Australia,Honduras,,Total population of concern,0,0
Australia,Hungary,,Asylum-seekers,0,0
Australia,Hungary,,Total population of concern,0,0
Australia,India,,Total Refugee and people in refugee-like situations,406,0
Australia,India,,Asylum-seekers,1567,0
Australia,India,,Total population of concern,1973,0
Australia,Indonesia,,Total Refugee and people in refugee-like situations,196,0
Australia,Indonesia,,Asylum-seekers,517,0
Australia,Indonesia,,Total population of concern,713,0
Australia,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,7230,0
Australia,Iran (Islamic Rep. of),,Asylum-seekers,4978,0
Australia,Iran (Islamic Rep. of),,Total population of concern,12208,0
Australia,Iraq,,Total Refugee and people in refugee-like situations,3811,0
Australia,Iraq,,Asylum-seekers,1835,0
Australia,Iraq,,Total population of concern,5646,0
Australia,Ireland,,Asylum-seekers,7,0
Australia,Ireland,,Total population of concern,7,0
Australia,Israel,,Total Refugee and people in refugee-like situations,18,0
Australia,Israel,,Asylum-seekers,16,0
Australia,Israel,,Total population of concern,34,0
Australia,Italy,,Total Refugee and people in refugee-like situations,5,0
Australia,Italy,,Asylum-seekers,11,0
Australia,Italy,,Total population of concern,16,0
Australia,Jamaica,,Total Refugee and people in refugee-like situations,0,0
Australia,Jamaica,,Asylum-seekers,0,0
